Postcode,Activity
Postcode4740,0.084139903
Postcode4770,-0.666256158
Postcode4920,0.480518765
Postcode5100,0.324475178
Postcode5200,0.280734839
Postcode5250,0.711058006
Postcode5400,0.130432397
Postcode5430,0.211008209
Postcode5440,-0.200317684
Postcode5450,0.10739876
Postcode5460,0.233707145
Postcode5470,0.204258758
Postcode5510,0.207515234
Postcode5620,0.103040369
Postcode5720,0.580997146
Postcode5800,-0.066212991
Postcode5810,-0.066813728
Postcode5820,-0.02922729
Postcode5830,0.0381347
Postcode5840,-0.107911658
Postcode5850,0.17535342
Postcode5860,0.11728541
Postcode5880,0.246750579
Postcode5900,0.308454493
Postcode5950,0.483630142
Postcode6100,0.32674462
Postcode6150,-0.604628347
Postcode6200,0.425199066
Postcode6400,-0.534290857
Postcode6450,-0.326890957
Postcode6500,-0.099848799
Postcode6650,-0.117431559
Postcode6750,0.080496054
Postcode6830,0.272105007
Postcode6850,0.012823638
Postcode6880,0.77755965
Postcode6950,0.7174259
Postcode7110,0.207069321
Postcode7150,0.105871475
Postcode7170,-0.164059398
Postcode7190,0.14069176
Postcode7220,-0.353913747
Postcode7230,-0.306664731
Postcode7280,0.072789963
Postcode7310,0.443964671
Postcode7350,0.658142665
Postcode7370,0.847658136
Postcode7390,0.658746415
Postcode7500,0.068231441
Postcode7510,0.433202819
Postcode7530,0.078513218
Postcode7560,-0.050161812
Postcode7565,0.373898447
Postcode7600,-0.271742734
Postcode7680,-0.448935514
Postcode7700,0.408913352
Postcode7720,0.2868362
Postcode7740,0.27332121
Postcode7750,0.633088541
Postcode7780,0.810681927
Postcode7800,-0.538530735
Postcode7810,0.164319249
Postcode7820,0.038606403
Postcode7830,0.73203658
Postcode7850,0.295825771
Postcode7870,0.025742574
Postcode7880,0.394879227
Postcode7890,0.085972851
Postcode7900,0.301797975
Postcode7910,0.059628344
Postcode7920,0.600843133
Postcode7930,0.404628891
Postcode7940,-0.432027257
Postcode7945,-0.256488976
Postcode7955,0.136292777
Postcode7960,0.516133764
Postcode7970,0.340275823
Postcode7980,-0.400447427
Postcode7990,0.27359882
Postcode8100,0.141615579
Postcode8150,-0.44806715
Postcode8200,-0.919798564
Postcode8350,0.241461416
Postcode8450,0.178182981
Postcode8480,0.548795037
Postcode8500,0.173406241
Postcode8680,0.276977659
Postcode8700,-0.263253949
Postcode8800,0.56645149
Postcode9120,0.621820818
Postcode9220,0.4437634
Postcode9430,0.372677794
Postcode9520,0.151370161
Postcode9630,0.26881616
Postcode9810,0.441282051
Postcode9930,0.011709602
Postcode10120,0.248130355
Postcode10140,0.211358503
Postcode10160,0.492024849
Postcode10210,0.347488737
Postcode10230,0.230373934
Postcode10250,0.728254524
Postcode10270,0.867817551
Postcode10300,0.490534128
Postcode10320,-2.14285714
Postcode10330,-0.579013906
Postcode10360,0.442395162
Postcode10380,0.39341344
Postcode10410,0.295002821
Postcode10420,0.289229087
Postcode10440,0.375011707
Postcode10470,0.407436247
Postcode10480,0.867379007
Postcode10520,0.50768393
Postcode10570,0.832654572
Postcode10600,0.485303867
Postcode10620,0.541884698
Postcode10640,0.515146194
Postcode10650,0.059074562
Postcode10660,0.579232089
Postcode10680,0.501955671
Postcode10710,0.495525292
Postcode10820,0.690362192
Postcode10900,0.500160295
Postcode10940,0.340874334
Postcode10960,0.178813027
