id,cid,mcc,mnc,technology,area,psc,measurements,latitude,longitude,last_update,created_at,source
"517066634,726398,240,07,""HSPA,HSPA+"",11,\N,81,66.2781215974,23.705817277,2018-04-28,2018-04-28,openbmap"
517080353,9114,244,05,EDGE,14100,\N,387,62.5240146172,26.9092095555,2017-08-07,2017-08-07,openbmap
517080354,9115,244,05,EDGE,14100,\N,876,62.4727041305,26.8434714681,2017-08-07,2017-08-07,openbmap
517080355,9116,244,05,EDGE,14100,\N,1452,62.4607248007,26.8056924246,2017-08-07,2017-08-07,openbmap
517080356,9334,244,05,EDGE,14100,\N,792,62.4942338236,26.8742183611,2017-08-07,2017-08-07,openbmap
517080357,1036,244,05,EDGE,14300,\N,6,62.03683445,25.57210444,2015-10-11,2015-10-11,openbmap
517080358,11391,244,05,EDGE,14300,\N,66,62.0068700245,25.6653972855,2017-07-29,2017-07-29,openbmap
"517080359,20246,244,05,""GSM,EDGE"",14300,\N,342,62.0193670225,25.6331062456,2017-07-29,2015-10-11,openbmap"
517080360,3580,244,05,EDGE,14300,\N,4,61.9033442155,25.2773978466,2013-01-01,2013-01-01,openbmap
517080361,39263,244,05,EDGE,14300,\N,6,62.24578538,25.82549549,2017-02-18,2017-02-18,openbmap
517080362,40431,244,05,EDGE,14300,\N,42,62.0191641514,26.0470986886,2017-03-26,2017-03-26,openbmap
517080363,40442,244,05,EDGE,14300,\N,48,62.0065390725,25.6667123938,2017-07-29,2017-07-29,openbmap
517080364,40568,244,05,EDGE,14300,\N,7,61.9031219823,25.2729900897,2013-01-01,2013-01-01,openbmap
517080365,41959,244,05,EDGE,14300,\N,12,62.035230675,25.5657059825,2015-10-11,2015-10-11,openbmap
517080366,6102,244,05,EDGE,14300,\N,34,61.8959719339,25.2659679031,2013-01-01,2013-01-01,openbmap
"517080367,6417,244,05,""GSM,EDGE"",14300,\N,45,62.0080735873,25.6615614702,2017-07-29,2017-07-29,openbmap"
"517080368,6455,244,05,""GSM,EDGE"",14300,\N,30,62.0393925433,25.588940845,2017-07-29,2015-10-11,openbmap"
517080369,7082,244,05,EDGE,14300,\N,12,62.03655609,25.57112723,2015-10-11,2015-10-11,openbmap
517080370,7083,244,05,EDGE,14300,\N,12,62.006094915,25.669463465,2017-07-29,2017-07-29,openbmap
517080371,852,244,05,EDGE,14300,\N,12,62.03655609,25.57112723,2015-10-11,2015-10-11,openbmap
517080372,854,244,05,EDGE,14300,\N,24,62.035230675,25.5657059825,2015-10-11,2015-10-11,openbmap
517080373,9120,244,05,GSM,1439951,\N,1,60.1582,24.6920415,2009-10-30,2009-10-30,openbmap
"517080375,63871,244,05,""GSM,EDGE"",14600,\N,2598,66.6352481317,23.8863533564,2017-04-17,2016-08-24,openbmap"
517080376,1239,244,05,GSM,15000,\N,16,61.4343500438,26.5818503938,2011-10-28,2011-10-28,openbmap
517080377,15811,244,05,GSM,15000,\N,7,61.4734749286,26.7397388857,2011-10-28,2011-10-28,openbmap
517080378,16608,244,05,GSM,15000,\N,8,61.3880934375,26.3465279875,2011-10-28,2011-10-28,openbmap
517080379,16609,244,05,GSM,15000,\N,10,61.38272243,26.31173625,2011-10-28,2011-10-28,openbmap
517080380,20511,244,05,GSM,15000,\N,1,61.4031065,26.3937658,2011-10-28,2011-10-28,openbmap
517080381,30057,244,05,GSM,15000,\N,3,61.4358941,26.5370869333,2011-10-28,2011-10-28,openbmap
517080382,3326,244,05,GSM,15000,\N,8,61.4675406625,26.7287684125,2011-10-28,2011-10-28,openbmap
517080383,36286,244,05,GSM,15000,\N,2,61.48139565,26.75544085,2011-10-28,2011-10-28,openbmap
517080384,38411,244,05,GSM,15000,\N,22,61.4234802227,26.4440691409,2011-10-28,2011-10-28,openbmap
517080385,38540,244,05,GSM,15000,\N,16,61.4132442375,26.4189289813,2011-10-28,2011-10-28,openbmap
517080386,4168,244,05,GSM,15000,\N,21,61.4190068429,26.4507554238,2011-10-28,2011-10-28,openbmap
517080387,640,244,05,GSM,15000,\N,16,61.4470468938,26.692201125,2011-10-28,2011-10-28,openbmap
517080388,64489,244,05,GSM,15000,\N,77,61.4206980506,26.4353982377,2011-10-28,2011-10-28,openbmap
517080389,652,244,05,GSM,15000,\N,1,61.4361452,26.6683055,2011-10-28,2011-10-28,openbmap
517080390,653,244,05,GSM,15000,\N,9,61.4337598778,26.6449190111,2011-10-28,2011-10-28,openbmap
517080391,7801,244,05,GSM,15000,\N,13,61.5259677769,26.8530572154,2011-10-28,2011-10-28,openbmap
517080392,7897,244,05,GSM,15000,\N,21,61.5065294524,26.8016650333,2011-10-28,2011-10-28,openbmap
517080393,8705,244,05,GSM,15000,\N,5,61.48589754,26.76685296,2011-10-28,2011-10-28,openbmap
517080394,15640,244,05,EDGE,1500,\N,12,62.122837875,28.45229624,2015-08-31,2015-08-31,openbmap
517080395,15910,244,05,EDGE,1500,\N,12,62.122837875,28.45229624,2015-08-31,2015-08-31,openbmap
517080396,16058,244,05,EDGE,1500,\N,12,62.122837875,28.45229624,2015-08-31,2015-08-31,openbmap
517080397,1237,244,05,GSM,15010,\N,26,61.5580991615,26.95023215,2011-10-28,2011-10-28,openbmap
517080398,1238,244,05,GSM,15010,\N,11,61.6357089636,27.0713791,2011-10-28,2011-10-28,openbmap
517080399,1255,244,05,GSM,15010,\N,12,61.777369875,27.5899916667,2011-10-28,2011-10-28,openbmap
517080400,2167,244,05,GSM,15010,\N,10,61.7084173,27.42674413,2011-10-28,2011-10-28,openbmap
517080401,2214,244,05,GSM,15010,\N,2,61.67629085,27.24027665,2011-10-28,2011-10-28,openbmap
517080402,30058,244,05,GSM,15010,\N,5,61.7605904,27.57202436,2011-10-28,2011-10-28,openbmap
517080403,30072,244,05,GSM,15010,\N,12,61.6504580417,27.1334091667,2011-10-28,2011-10-28,openbmap
517080404,3329,244,05,GSM,15010,\N,16,61.7212667688,27.4770207063,2011-10-28,2011-10-28,openbmap
517080405,3408,244,05,GSM,15010,\N,9,61.8709309778,27.7497070889,2011-10-28,2011-10-28,openbmap
517080406,36281,244,05,GSM,15010,\N,4,61.78885635,27.5971173,2011-10-28,2011-10-28,openbmap
517080407,37114,244,05,GSM,15010,\N,3,61.5905479,27.0264226,2011-10-28,2011-10-28,openbmap
517080408,37116,244,05,GSM,15010,\N,13,61.5845332077,27.0138353538,2011-10-28,2011-10-28,openbmap
517080409,37674,244,05,GSM,15010,\N,1,61.704184,27.3284927,2011-10-28,2011-10-28,openbmap
517080410,38465,244,05,GSM,15010,\N,2,61.6960022,27.30832145,2011-10-28,2011-10-28,openbmap
517080411,38467,244,05,GSM,15010,\N,5,61.7010639,27.31772884,2011-10-28,2011-10-28,openbmap
517080412,38468,244,05,GSM,15010,\N,14,61.7038610571,27.3826646071,2011-10-28,2011-10-28,openbmap
517080413,38592,244,05,GSM,15010,\N,3,61.7033574667,27.3554844667,2011-10-28,2011-10-28,openbmap
517080414,38593,244,05,GSM,15010,\N,6,61.7045718,27.3412124,2011-10-28,2011-10-28,openbmap
517080415,38595,244,05,GSM,15010,\N,3,61.6916478333,27.3036984333,2011-10-28,2011-10-28,openbmap
517080416,38603,244,05,GSM,15010,\N,2,61.67962105,27.26803235,2011-10-28,2011-10-28,openbmap
517080417,38604,244,05,GSM,15010,\N,5,61.6780635,27.254428,2011-10-28,2011-10-28,openbmap
517080418,3979,244,05,GSM,15010,\N,2,61.71073945,27.45079195,2011-10-28,2011-10-28,openbmap
517080419,3980,244,05,GSM,15010,\N,23,61.7438553,27.5321187174,2011-10-28,2011-10-28,openbmap
517080420,3982,244,05,GSM,15010,\N,4,61.533213975,26.8746261,2011-10-28,2011-10-28,openbmap
517080421,3983,244,05,GSM,15010,\N,9,61.5388310222,26.8927951222,2011-10-28,2011-10-28,openbmap
517080422,4105,244,05,GSM,15010,\N,18,61.8525335,27.6988461778,2011-10-28,2011-10-28,openbmap
517080423,4106,244,05,GSM,15010,\N,1,61.8644521,27.7318304,2011-10-28,2011-10-28,openbmap
517080424,41759,244,05,GSM,15010,\N,14,61.6106412286,27.0477815,2011-10-28,2011-10-28,openbmap
517080425,4199,244,05,GSM,15010,\N,3,61.6440595,27.0929021,2011-10-28,2011-10-28,openbmap
517080426,5737,244,05,GSM,15010,\N,2,61.8401861,27.66477765,2011-10-28,2011-10-28,openbmap
517080427,5738,244,05,GSM,15010,\N,24,61.8104300583,27.6148910125,2011-10-28,2011-10-28,openbmap
517080428,5739,244,05,GSM,15010,\N,6,61.8348395167,27.6522318333,2011-10-28,2011-10-28,openbmap
517080429,61094,244,05,GSM,15010,\N,5,61.66410986,27.222283,2011-10-28,2011-10-28,openbmap
517080430,61095,244,05,GSM,15010,\N,2,61.65867895,27.20718525,2011-10-28,2011-10-28,openbmap
517080431,62170,244,05,GSM,15010,\N,2,61.688393,27.29645755,2011-10-28,2011-10-28,openbmap
517080432,63518,244,05,GSM,15010,\N,6,61.6866219667,27.2873617667,2011-10-28,2011-10-28,openbmap
517080433,63739,244,05,GSM,15010,\N,1,61.6576407,27.201068,2011-10-28,2011-10-28,openbmap
517080434,63740,244,05,GSM,15010,\N,3,61.6532388,27.1510414667,2011-10-28,2011-10-28,openbmap
517080435,6902,244,05,GSM,15010,\N,33,61.897911797,27.8067000303,2011-10-28,2011-10-28,openbmap
517080436,6904,244,05,GSM,15010,\N,380,61.8974126779,27.8058841261,2011-10-28,2011-10-28,openbmap
517080437,7852,244,05,GSM,15010,\N,5,61.68255838,27.2774062,2011-10-28,2011-10-28,openbmap
517080438,8274,244,05,EDGE,15010,\N,6,61.88375323,26.11255214,2017-03-26,2017-03-26,openbmap
517080439,8281,244,05,GSM,15010,\N,1,61.6247086,27.0597152,2011-10-28,2011-10-28,openbmap
517080440,9634,244,05,GSM,15010,\N,4,61.671853775,27.23214125,2011-10-28,2011-10-28,openbmap
517080441,9635,244,05,GSM,15010,\N,2,61.65605765,27.19566305,2011-10-28,2011-10-28,openbmap
517080442,9679,244,05,GSM,15010,\N,1,61.6542361,27.1441194,2011-10-28,2011-10-28,openbmap
517080443,9680,244,05,GSM,15010,\N,7,61.6535133429,27.1604933286,2011-10-28,2011-10-28,openbmap
517080444,3604,244,05,EDGE,15100,\N,12,62.54264725,26.942369575,2017-08-07,2017-08-07,openbmap
