Postcode,Activity
Postcode102,0.0031835168848321784
Postcode120,0.17140324430531426
Postcode130,0.17656734389566325
Postcode140,0.10100534261455585
Postcode150,0.16227302055488985
Postcode160,0.09084282399007783
Postcode170,0.1532553895768262
Postcode180,0.3328574878860678
Postcode190,0.024353291617613942
Postcode200,0.1515734985782975
Postcode210,0.08793816381606658
Postcode220,0.10191279368920428
Postcode230,0.044039233622418676
Postcode240,0.24385786008393703
Postcode250,0.2602077307480944
Postcode260,0.14376901096875289
Postcode270,0.07455741706346382
Postcode280,0.0634833636886559
Postcode290,0.1140188502469457
Postcode300,0.11901201884091284
Postcode310,0.044398305391268635
Postcode320,0.17507330197848253
Postcode330,0.11686371374133532
Postcode340,0.0261789863383547
Postcode350,0.08301733461988563
Postcode360,0.00778406923113721
Postcode370,0.15413192139274343
Postcode380,0.29986605543764755
Postcode390,0.12861915757270984
Postcode400,0.10446684113684863
Postcode410,0.08393674503045839
Postcode420,0.1904226721006778
Postcode430,0.09623998478539117
Postcode440,0.13781734535411885
Postcode500,0.286391967526611
Postcode510,0.25730890439648524
Postcode520,0.3516479381521484
Postcode530,0.5075664676555385
Postcode540,0.19081003790817797
Postcode550,0.10301596950544353
Postcode560,0.20112131900390984
Postcode570,0.12917307900979033
Postcode580,0.19739875692912257
Postcode590,0.02411118798792632
Postcode600,0.027355376625740457
Postcode610,0.1458811463694373
Postcode620,0.09602588350323368
Postcode630,0.0900339645140251
Postcode640,0.133927352576391
Postcode650,0.013952753039129781
Postcode660,0.11395701172948332
Postcode670,0.0414738102210902
Postcode680,0.0969697959678953
Postcode690,0.05696406715429644
Postcode700,0.2946491597545594
Postcode710,0.12219291050566405
Postcode720,0.14518750488582627
Postcode730,0.12130821133838386
Postcode740,0.057749299649620625
Postcode750,0.16595591263734277
Postcode760,0.09288553690417713
Postcode770,0.09881036693576145
Postcode780,0.05852519802910144
Postcode790,0.14934381165621052
Postcode800,0.06610450009392455
Postcode810,0.23567242387153456
Postcode820,0.049591865784748286
Postcode830,0.03095805365016434
Postcode840,0.0651489199844587
Postcode850,0.025049558321305936
Postcode860,0.05056086368573899
Postcode870,0.051621452598442835
Postcode880,0.17684824244432493
Postcode890,0.06486422945123566
Postcode900,0.12610332166179933
Postcode910,0.06942452842296612
Postcode920,0.19523936756698104
Postcode930,0.23535418885949938
Postcode940,0.2748958371010103
Postcode950,0.0625671618804043
Postcode960,0.07023893003030088
Postcode970,0.1156321938322496
Postcode980,0.25680486214094284
Postcode990,0.0681031676488879
Postcode1120,0.029322541539732416
Postcode1150,0.07822076584086966
Postcode1180,0.011027966177831241
Postcode1190,0.03041025772660608
Postcode1200,0.21210611489596545
Postcode1230,0.07126247417075131
Postcode1260,0.1088591260233983
Postcode1280,0.0669504043422307
Postcode1300,0.41644245342567887
Postcode1340,0.022336830904324145
Postcode1350,0.13534613818458446
Postcode1360,0.17648246177971252
Postcode1370,0.08589545090196728
Postcode1380,0.06681185106018055
Postcode1390,0.12012365369963515
Postcode1400,0.1358714738918946
Postcode1420,0.031377505480876144
Postcode1450,0.22889877268044304
Postcode1480,0.07015988173675226
Postcode1490,0.0918678265861288
Postcode1510,0.4219113702365382
Postcode1520,0.0828116923802112
Postcode1530,0.23030472387935189
Postcode1600,0.2037380800423769
Postcode1610,0.10224590494836484
Postcode1620,0.17877748751270314
Postcode1630,0.03240571667924828
Postcode1640,0.060990863067353816
Postcode1650,0.027655235097208984
Postcode1660,0.03432766946962387
Postcode1670,0.07481964738043873
Postcode1680,0.030556686668899075
Postcode1690,0.03668832570463824
Postcode1700,0.09381457312171337
Postcode1710,0.060864560812348104
Postcode1720,0.04732717592824865
Postcode1730,0.08713922183809743
Postcode1740,0.11767519843746901
Postcode1750,0.013435876374302713
Postcode1760,0.0760756693436133
Postcode1770,0.005303236254639347
Postcode1800,0.11781404341063925
Postcode1820,0.015571930446835794
Postcode1830,0.04803336013002423
Postcode1840,0.03613965470771966
Postcode1860,0.04684938587351573
Postcode1900,0.1444454426762777
Postcode1940,0.028859627732124877
Postcode2100,0.1737948197990598
Postcode2110,0.01756155557707588
Postcode2120,0.014310074661259102
Postcode2130,0.10765181647728135
Postcode2140,0.05303761298655537
Postcode2150,0.23980072829438867
Postcode2160,0.03305502111260327
Postcode2170,0.0725820847981089
Postcode2180,0.06079455494352277
Postcode2200,0.2691705237955782
Postcode2210,0.1140028072353399
Postcode2230,0.29403310810889643
Postcode2240,0.09218285299584282
Postcode2250,0.0543589737606336
Postcode2260,0.06671967666622719
Postcode2270,0.0916263063386814
Postcode2280,0.08524964676205356
Postcode2300,0.019674857742240724
Postcode2320,0.1948094148559454
Postcode2330,0.13417704017520135
Postcode2340,0.08549466730294222
Postcode2360,0.1082938286326337
Postcode2380,0.008253983625627282
Postcode2390,0.031091064800932478
Postcode2400,0.16314342685728486
Postcode2410,0.01359338957915972
Postcode2420,0.06388648081664179
