technology,latitude,longitude
HSPA,66.2886223321,23.6926971229
HSPA,66.3296578245,23.6861662639
HSPA,66.36348611,23.7213407033
HSPA,66.41532669,23.69259751
HSPA,66.4649512175,23.7067042463
HSPA,66.4443365725,23.6829978525
HSPA,66.5134557443,23.7824828871
EDGE,66.51466229,23.78965858
EDGE,65.8950844536,24.1449421348
EDGE,66.1897958492,23.8059159304
EDGE,66.1553100295,23.9219008774
EDGE,66.1372272957,23.9425867857
EDGE,66.1363074246,23.9324441875
EDGE,66.2208426261,23.784172085
EDGE,66.1651963521,23.8781396382
EDGE,65.8984525145,24.1421458828
EDGE,66.208884709,23.798746674
EDGE,66.3479190743,23.7073534563
EDGE,66.5003477638,23.7670829046
EDGE,66.4405301325,23.6965804709
EDGE,66.45714478,23.6999592111
EDGE,66.38270171,23.6944914233
EDGE,66.5146496673,23.7893389558
EDGE,65.8753839323,24.1613327389
EDGE,66.45814328,23.70102436
EDGE,66.47320799,23.7233737719
EDGE,65.875413395,24.160894205
EDGE,66.2544491947,23.7367370325
EDGE,66.4916942583,23.7390107483
EDGE,65.87707876,24.1578546933
EDGE,65.8799578588,24.15437241
EDGE,65.8708935719,24.1652242669
EDGE,66.5688021231,23.8732966209
EDGE,67.7518956234,23.6147276569
EDGE,66.76212413,23.95382035
EDGE,66.54136,23.84770459
EDGE,67.9263395625,23.8269230642
GSM,61.7982308889,29.3282468
GSM,61.7878518,29.3417503
GSM,61.7857228667,29.3401205
GSM,61.77361606,29.3469836
GSM,60.85368608,24.59691186
EDGE,62.5699257917,27.0060266069
EDGE,62.5418068328,26.9376221413
EDGE,62.5434867523,26.9447391217
EDGE,62.3836796214,26.6031650382
EDGE,62.5613579472,26.9891932887
EDGE,62.5359581389,26.9218737524
EDGE,62.4985572999,26.8784972105
EDGE,62.5422477089,26.9398833833
EDGE,62.5171763875,26.898017785
EDGE,62.4836340208,26.8566525127
EDGE,62.5240146172,26.9092095555
EDGE,62.4727041305,26.8434714681
EDGE,62.4607248007,26.8056924246
EDGE,62.4942338236,26.8742183611
EDGE,62.03683445,25.57210444
EDGE,62.0068700245,25.6653972855
EDGE,61.9033442155,25.2773978466
EDGE,62.24578538,25.82549549
EDGE,62.0191641514,26.0470986886
EDGE,62.0065390725,25.6667123938
EDGE,61.9031219823,25.2729900897
EDGE,62.035230675,25.5657059825
EDGE,61.8959719339,25.2659679031
EDGE,62.03655609,25.57112723
EDGE,62.006094915,25.669463465
EDGE,62.03655609,25.57112723
EDGE,62.035230675,25.5657059825
GSM,60.1582,24.6920415
GSM,61.4343500438,26.5818503938
GSM,61.4734749286,26.7397388857
GSM,61.3880934375,26.3465279875
GSM,61.38272243,26.31173625
GSM,61.4031065,26.3937658
GSM,61.4358941,26.5370869333
GSM,61.4675406625,26.7287684125
GSM,61.48139565,26.75544085
GSM,61.4234802227,26.4440691409
GSM,61.4132442375,26.4189289813
GSM,61.4190068429,26.4507554238
GSM,61.4470468938,26.692201125
GSM,61.4206980506,26.4353982377
