00100;384979;6672361
00120;385531;6671434
00130;386244;6671474
00140;386394;6670766
00150;385320;6670373
00160;387315;6671672
00170;386384;6672361
00180;384394;6671544
00190;388074;6668964
00200;382001;6671291
00210;382433;6670140
00220;384310;6670490
00230;384728;6677128
00240;384953;6676127
00250;384864;6674180
00260;384837;6673278
00270;383779;6674911
00280;383953;6675752
00290;383963;6674235
00300;383074;6675909
00310;384025;6676710
00320;383618;6677411
00330;382363;6675346
00340;380834;6673255
00350;381714;6676414
00360;381312;6677454
00370;380818;6677989
00380;382085;6677483
00390;380819;6679980
00400;383591;6678683
00410;381373;6680980
00420;382603;6680785
00430;383599;6681314
00440;382731;6678903
00500;386920;6673920
00510;386306;6674580
00520;385886;6675603
00530;386359;6673423
00540;387726;6673451
00550;386859;6675138
00560;388067;6676661
00570;389434;6673678
00580;387684;6674732
00590;390397;6672082
00600;387162;6677551
00610;386362;6676820
00620;385491;6678014
00630;385145;6678875
00640;387034;6679079
00650;387774;6678231
00660;385319;6680113
00670;385496;6681652
00680;387106;6680686
00690;386661;6682875
00700;391045;6680491
00710;389496;6678927
00720;388597;6680231
00730;390492;6682616
00740;389061;6683599
00750;390864;6684114
00760;392953;6683179
00770;392962;6681819
00780;388641;6681842
00790;390595;6678130
00800;391317;6676577
00810;390592;6674684
00820;392397;6675369
00830;393325;6673510
00840;391841;6672655
00850;393186;6671362
00860;392021;6669292
00870;391474;6671389
00880;391836;6675875
00890;400065;6681820
00900;393673;6676837
00910;394778;6676551
00920;392634;6677550
00930;393766;6675948
00940;393323;6679592
00950;394996;6677673
00960;397097;6677756
00970;396111;6678982
00980;396443;6675954
00990;398295;6675382
01120;404895;6682901
01150;408388;6685413
01180;411964;6681922
01190;411240;6687935
01200;396764;6683747
01230;395237;6682340
01260;396395;6686683
01280;395296;6680584
01300;390678;6685914
01340;391704;6689133
01350;391409;6687586
01360;393327;6688345
01370;393177;6686286
01380;393696;6684855
01390;390428;6689094
01400;393365;6689991
01420;395500;6688953
01450;393848;6692925
01480;395384;6691476
01490;396971;6690256
01510;387575;6685193
01520;387168;6683945
01530;386604;6688219
01600;381084;6682764
01610;382726;6682964
01620;381188;6684636
01630;377599;6683269
01640;378388;6681547
01650;379638;6682473
01660;379238;6683381
01670;382365;6684884
01680;377607;6685874
01690;384956;6684376
01700;380609;6689308
01710;378089;6682224
01720;379215;6685127
01730;381190;6686816
01740;383901;6686617
01750;378430;6691220
01760;382780;6693323
01770;381413;6685458
01800;375202;6696585
01810;378914;6698901
01820;376793;6698282
01830;370025;6697493
01840;375880;6693454
01860;371570;6702426
01900;380915;6705488
01940;382499;6700396
02100;378056;6673140
02110;379011;6673189
02120;377402;6672830
02130;378010;6674565
02140;378092;6675820
02150;379412;6673889
02160;377820;6671683
02170;376372;6671515
02180;376250;6675136
02200;375719;6673124
02210;373877;6673197
02230;374856;6670785
02240;373326;6672241
02250;374249;6674498
02260;372226;6669920
02270;372465;6671520
02280;371647;6673360
02290;372635;6673286
02300;370668;6671451
02320;369052;6670099
02330;368961;6672257
02340;369943;6673774
02360;370805;6668745
02380;372791;6666335
02390;366303;6669024
02400;356300;6671554
02410;358358;6669378
02420;364490;6664091
02430;362340;6672349
02440;362704;6674096
02450;364858;6670958
02460;354962;6664688
02470;351884;6657240
02480;358652;6663804
02490;352918;6664804
02510;361304;6678095
02520;358338;6678250
02540;355321;6681069
02550;352870;6676750
02570;347035;6677340
02580;345479;6668675
02590;339612;6674763
02600;378853;6676687
02610;376658;6677927
02620;376706;6679636
02630;376102;6676625
02650;378951;6678499
02660;378764;6680027
02680;379728;6680296
02700;373274;6677450
02710;374759;6679008
02720;375026;6680419
02730;376216;6681574
02740;370137;6683093
02750;373852;6675740
02760;371473;6676012
02770;369563;6676446
02780;365403;6676226
02810;368308;6678951
02820;364679;6687658
02860;362466;6685658
02880;357425;6683304
02920;374953;6683976
02940;372623;6682597
02970;373910;6689826
02980;368889;6690833
03100;351222;6692645
03150;354333;6686771
03220;358276;6690871
03250;357215;6695844
03300;362991;6695784
03320;364556;6702514
03400;355142;6703707
03430;345401;6701910
03600;345560;6717928
03620;352995;6718085
03710;357107;6713184
03790;365136;6712171
03810;340801;6707145
03850;335047;6711922
03870;331034;6707644
04130;403872;6693290
04150;401958;6696787
04170;403166;6702920
04200;396331;6699274
04220;398070;6696314
04230;395132;6699725
04240;399945;6698919
04250;396827;6695232
04260;394609;6695346
04300;390353;6699892
04310;392574;6699422
04320;390958;6694137
04330;388432;6696389
04340;393238;6696875
04350;384754;6697391
